iter	Passed	Remaining
664	1142	575
665	1143	573
666	1145	571
667	1147	570
668	1148	568
669	1150	566
670	1151	564
671	1153	563
672	1155	561
673	1156	559
674	1157	557
675	1159	555
676	1161	553
677	1162	552
678	1163	550
679	1165	548
680	1166	546
681	1167	544
682	1169	542
683	1171	540
684	1172	539
685	1173	537
686	1175	535
687	1176	533
688	1177	531
689	1179	529
690	1180	528
691	1182	526
692	1183	524
693	1185	522
694	1186	520
695	1188	519
696	1190	517
697	1191	515
698	1193	513
699	1194	512
700	1196	510
701	1197	508
702	1199	506
703	1201	505
704	1202	503
705	1204	501
706	1205	499
707	1207	497
708	1208	496
709	1210	494
710	1212	492
711	1213	491
712	1215	489
713	1217	487
714	1219	485
715	1220	484
716	1222	482
717	1223	480
718	1225	478
719	1226	477
720	1228	475
721	1230	473
722	1232	472
723	1233	470
724	1235	468
725	1236	466
726	1238	464
727	1239	463
728	1241	461
729	1243	459
730	1244	458
731	1246	456
732	1247	454
733	1249	452
734	1251	451
735	1253	449
736	1254	447
737	1256	445
738	1258	444
739	1259	442
740	1261	440
741	1263	439
742	1264	437
743	1266	435
744	1267	433
745	1269	432
746	1270	430
747	1272	428
748	1273	426
749	1274	424
750	1276	423
751	1278	421
752	1279	419
753	1281	417
754	1282	416
755	1283	414
756	1284	412
757	1286	410
758	1287	408
759	1289	407
760	1291	405
761	1292	403
762	1293	401
763	1295	400
764	1296	398
765	1298	396
766	1300	394
767	1301	393
768	1303	391
769	1304	389
770	1305	387
771	1307	386
772	1309	384
773	1310	382
774	1311	380
775	1313	379
776	1315	377
777	1316	375
778	1318	374
779	1319	372
780	1321	370
781	1322	368
782	1324	367
783	1325	365
784	1327	363
785	1328	361
786	1330	360
787	1332	358
788	1333	356
789	1334	354
790	1336	353
791	1337	351
792	1339	349
793	1341	347
794	1342	346
795	1343	344
796	1345	342
797	1347	341
798	1349	339
799	1350	337
800	1352	335
801	1353	334
802	1354	332
803	1355	330
804	1357	328
805	1358	327
806	1360	325
807	1361	323
808	1362	321
809	1364	320
810	1365	318
811	1367	316
812	1368	314
813	1370	313
814	1371	311
815	1373	309
816	1375	307
817	1376	306
818	1377	304
819	1379	302
820	1380	301
821	1382	299
822	1384	297
823	1385	295
824	1386	294
825	1388	292
826	1390	290
827	1392	289
828	1394	287
829	1395	285
830	1397	284
831	1398	282
832	1400	280
833	1402	279
834	1403	277
835	1405	275
836	1407	274
837	1408	272
838	1410	270
839	1411	268
840	1413	267
841	1414	265
842	1416	263
843	1417	261
844	1419	260
845	1420	258
